College,Department,CourseNumber,Title,Credits,Type,Description,AverageRating
MET,AD,612,COO-Public Emergency Management,4,ONLINE,"This course examines emergency management from national, state, local, and family perspectives of prevention, preparedness, response, and recovery. The course encompasses knowledge of the specific agencies, organizations, and individual behaviors in emergency management as well as the interlinking partnerships between/among these groups. Areas of discussion include: responsibilities at federal, state, community and individual levels; guidelines and procedures for operations and compliance such as the National response Plan; Incident Command Systems (ICS); exercises; plan development, command, and control; communication; partnership development and maintenance; leadership; and numerous other elements related to effective emergency management. The unique and critical roles of private and public partnerships are reviewed and particular attention is paid to the interplay and interdependency among national, state, community, business (public and private), and the individual.",0
MET,AD,613,Enterprise Risk Planning and Compliance,4,ONLINE,"Students are exposed to the important issues relating to corporate and organizational security and risk from both the perspective of systems designed to protect against disasters and aspects of emergency preparedness should systems fail. Security areas of study include information technology, terrorism, and other organization disruptions. Students study proactive risk assessment through management risk analysis techniques and simulations. Students will be able to design a company or agency global assurance plan, organize the strategy to make the plan operational, and implement control measures to assess the plan's degree of success. The course also provides explanations of legal/regulatory, auditing, and industry-specific requirements related to compliance, control, and reporting issue sin business risk management. The role of establishing and maintaining standards by local, national, and international agencies is discussed, as is the importance of these agencies in certifying operations.  Prereq: MET AD610.",0
MET,AD,614,Disaster Management,4,ONLINE,"This course takes concepts covered in MET AD 610 and MET AD 613 and applies them in more detail mainly to the corporate-private sector environment. During this course, we will first review the organization and processes necessary to effectively respond to and manage incidents, including the transition from emergency response and incident management to business recovery. Finally, the course will focus on disaster recovery, with an emphasis on technology recovery, an absolutely essential but sometimes overlooked component of any successful corporate recovery program. Prereq: MET AD610.",0
MET,AD,615,Introductory Macroeconomic Analysis,4,IN_PERSON,"Includes national economic performance; problems of recession, unemployment inflation, and trade and budget deficits; money creation, government spending, and taxation; economic policies for full employment and price stability; and international trade and payments.",0
MET,AD,616,Enterprise Risk Analytics,4,IN_PERSON,"The course offers an overview of the key current and emerging enterprise risk analytical approaches used by corporations and governmental institutions and is focused on understanding and implementing the enterprise risk management framework on how to leverage the opportunities around a firm to increase firm value. The major risk categories of the enterprise risk management such as financial risk, strategic risk and operational risk will be discussed and risk analytics approaches for each of these risks will be covered. Students will learn how to use interlinked data-inputs, analytics models, business statistics, optimization techniques, simulation, and decision-support tools. An integrated enterprise risk analytics approach will be demonstrated with examples from different functional areas of the enterprise. Prereq: METAD571",0
MET,AD,616,Enterprise Risk Analytics,4,ONLINE,"The course offers an overview of the key current and emerging enterprise risk analytical approaches used by corporations and governmental institutions and is focused on understanding and implementing the enterprise risk management framework on how to leverage the opportunities around a firm to increase firm value. The major risk categories of the enterprise risk management such as financial risk, strategic risk and operational risk will be discussed and risk analytics approaches for each of these risks will be covered. Students will learn how to use interlinked data-inputs, analytics models, business statistics, optimization techniques, simulation, and decision-support tools. An integrated enterprise risk analytics approach will be demonstrated with examples from different functional areas of the enterprise. Prereq: METAD571",0
MET,AD,617,Business Continuity Management,4,IN_PERSON,"The course presents, assesses, and discusses the contemporary theories, methods and practices related to business continuity (BC), business continuity management (BCM) and resiliency planning. The course incorporates the underpinnings of enterprise-wide risk management (ERM); however, it is designed to focus on broad-based threats, vulnerabilities, unexpected events, emergencies, and crises that may impacts organizations and their leaders and professionals. The course focuses on the design, development and applications of resilience, emergency planning, crisis management, BC, and disaster recovery used by organizations in the private sector. It presents a comprehensive, cutting-edge technologies pertaining BCM in complex organizations and challenging environments. Technological innovations are used to involve a complex array of high-level developments that result in transitions and transformations of businesses. Finally, the environmental considerations center on connections between business and the natural law.",0
MET,AD,617,Business Continuity Management,4,ONLINE,"The course presents, assesses, and discusses the contemporary theories, methods and practices related to business continuity (BC), business continuity management (BCM) and resiliency planning. The course incorporates the underpinnings of enterprise-wide risk management (ERM); however, it is designed to focus on broad-based threats, vulnerabilities, unexpected events, emergencies, and crises that may impacts organizations and their leaders and professionals. The course focuses on the design, development and applications of resilience, emergency planning, crisis management, BC, and disaster recovery used by organizations in the private sector. It presents a comprehensive, cutting-edge technologies pertaining BCM in complex organizations and challenging environments. Technological innovations are used to involve a complex array of high-level developments that result in transitions and transformations of businesses. Finally, the environmental considerations center on connections between business and the natural law.",0
MET,AD,630,Financial and Managerial Accounting,4,IN_PERSON,"Introduction to the concepts, methods, and problems of financial and managerial accounting. Includes data accumulation, accounting principles, financial statement analysis, measurement and disclosure issues, cost analysis, budgeting and control, production costs, and standard costs.",0
MET,AD,630,Financial and Managerial Accounting,4,ONLINE,"Introduction to the concepts, methods, and problems of financial and managerial accounting. Includes data accumulation, accounting principles, financial statement analysis, measurement and disclosure issues, cost analysis, budgeting and control, production costs, and standard costs.",0
MET,AD,632,Financial Concepts,4,IN_PERSON,"Introduction to the concepts, methods and problems of accounting and financial analysis. Includes accounting principles, measurement and disclosure issues, financial statement analysis, time value of money, cash flow projection and analysis, capital budgeting and project evaluation, bond and equity valuation, cost of capital and capital structure.",0
MET,AD,632,Financial Concepts,4,ONLINE,"Introduction to the concepts, methods and problems of accounting and financial analysis. Includes accounting principles, measurement and disclosure issues, financial statement analysis, time value of money, cash flow projection and analysis, capital budgeting and project evaluation, bond and equity valuation, cost of capital and capital structure.",0
MET,AD,642,Project Management,4,IN_PERSON,"The course explores modern project management by providing an enterprise-level, experiential view of the discipline focused on connecting projects to the organization's mission, vision, and values. The theme of the course is applying key project management tools and techniques, through case-based group work. Groups select, plan, report, and then present on their project's scope, schedule, cost, risk, quality, and communications elements using tools such as the WBS, network diagram, PERT estimate, Gantt chart (including the use of MS Project), risk register, and heat map. Students also gain familiarity with important new concepts in project management: Agile frameworks, sustainability thinking, and Benefits Realization Management, all of which will be important for their success not only in other graduate courses, but as they lead projects for their organizations. The course is aligned with the latest PMBOK? Guide from the Project Management Institute.",0
MET,AD,642,Project Management,4,ONLINE,"The course explores modern project management by providing an enterprise-level, experiential view of the discipline focused on connecting projects to the organization's mission, vision, and values. The theme of the course is applying key project management tools and techniques, through case-based group work. Groups select, plan, report, and then present on their project's scope, schedule, cost, risk, quality, and communications elements using tools such as the WBS, network diagram, PERT estimate, Gantt chart (including the use of MS Project), risk register, and heat map. Students also gain familiarity with important new concepts in project management: Agile frameworks, sustainability thinking, and Benefits Realization Management, all of which will be important for their success not only in other graduate courses, but as they lead projects for their organizations. The course is aligned with the latest PMBOK? Guide from the Project Management Institute.",0
MET,AD,643,Project Communications Management,4,IN_PERSON,"This course examines the behavioral aspects of working effectively in the project domain. We examine current philosophies of work around enhanced leadership, communication, conflict management, and negotiation skills, and the ability to organize, manage, and to produce efficient delivery from teams. Good leadership is an important element when applied to project management, and this course identifies various styles of communication and conflict resolution that leaders can use. The course also addresses more contemporary issues in PM, including resolving ambiguity and complexity, the use of improvised working styles, sustainable PM, and issues around power and politics within the project.",0
MET,AD,643,Project Communications Management,4,ONLINE,"This course examines the behavioral aspects of working effectively in the project domain. We examine current philosophies of work around enhanced leadership, communication, conflict management, and negotiation skills, and the ability to organize, manage, and to produce efficient delivery from teams. Good leadership is an important element when applied to project management, and this course identifies various styles of communication and conflict resolution that leaders can use. The course also addresses more contemporary issues in PM, including resolving ambiguity and complexity, the use of improvised working styles, sustainable PM, and issues around power and politics within the project.",0
MET,AD,644,Project Risk and Cost Management,4,IN_PERSON,"This course introduces students to macro and micro approaches to project cost estimation. Case studies of both pre-project and in- process estimating examine some of the more common perils of human irrationality associated with project estimation to help develop more sensible, achievable project outcomes. Students learn how to manage both project cost and schedule objectives throughout their projects using the Earned Value and Earned Schedule Measurement Systems. Students then study risk management through an examination of both individual and overall project risk and apply their learnings using advanced risk management software in an actual case study. Students also study project quality management, procurement/contract management, and project ethics and professional conduct using case study scenarios. Prereq: MET AD642",0
MET,AD,644,Project Risk and Cost Management,4,ONLINE,"This course introduces students to macro and micro approaches to project cost estimation. Case studies of both pre-project and in- process estimating examine some of the more common perils of human irrationality associated with project estimation to help develop more sensible, achievable project outcomes. Students learn how to manage both project cost and schedule objectives throughout their projects using the Earned Value and Earned Schedule Measurement Systems. Students then study risk management through an examination of both individual and overall project risk and apply their learnings using advanced risk management software in an actual case study. Students also study project quality management, procurement/contract management, and project ethics and professional conduct using case study scenarios. Prereq: MET AD642",0
MET,AD,646,Portfolio and Program Management,4,IN_PERSON,"Programs and projects deliver benefits to organizations by enhancing current capabilities or developing new capabilities for the organization to use. This course will provide a detailed understanding of program management and will present concepts that promote efficient and effective communication and coordination among various groups. Students will understand PMI? program management processes and use tools that automate and enforce processes for managing scope changes, risk, quality, issues, schedules, resources, releases, and costs. You will learn how to design a program and manage program costs, risk, and communication within the context of Project Portfolios. This course is targeted to senior executives, portfolio managers, program managers and their team members, members of a PMO, customers/stakeholders, educators, and consultants. This course introduces processes and knowledge areas from three new PMI standards: Program Management standard, OPM3, and Portfolio Management. Prereq: MET AD642",0
MET,AD,647,Project and Program Governance,4,ONLINE,"This is a comprehensive course on project and program monitoring, evaluation, and governance. Students will also understand enterprise wide-project interdependencies and determine the optimal pacing for a program to enable appropriate planning, scheduling, executing, monitoring, and controlling of the projects within a program in the future. It covers governance and evaluation methods that will be useful at various levels of large projects, including government and nonprofit organizations. This course will help project and program managers, analysts, consultants, educators, and managers in government, nonprofit, and private institutions to assess program results and identify ways to improve program performance. Other topics include: evaluation for small nonprofit organizations; assessing and improving planning, implementation and effectiveness; governance methodology and models; using evaluation tools and applications to assess factors linking projects under one program and provide the best allotment of resources between those projects; monitor complex, multi-project programs, and drill into current project details; enable collaboration and stakeholder alignment throughout a project life-cycle. Other topics include: creating a transparent and accountable organization with well-defined roles and one that is based on transparency, resource allocation and decision making and enterprise project management. Prereq: MET AD642",0
MET,AD,648,Ecommerce,4,IN_PERSON,"The course provides a detailed examination of the history of e-commerce, along with important concepts related to the ways that businesses can successfully use Internet and Web technology. Students are introduced to the concepts and problems associated with electronic commerce. Topics include comparison of e-commerce procedures, payment mechanisms, applications in different industry sectors, security, the challenges of starting and maintaining an electronic business site, as well as a comparison with traditional business practices. The development of a WordPress-themed website is a minor feature of the course. 4cr.",0
MET,AD,648,Ecommerce,4,ONLINE,"The course provides a detailed examination of the history of e-commerce, along with important concepts related to the ways that businesses can successfully use Internet and Web technology. Students are introduced to the concepts and problems associated with electronic commerce. Topics include comparison of e-commerce procedures, payment mechanisms, applications in different industry sectors, security, the challenges of starting and maintaining an electronic business site, as well as a comparison with traditional business practices. The development of a WordPress-themed website is a minor feature of the course. 4cr.",0
MET,AD,649,Agile Project Management,4,IN_PERSON,"The course provides an understanding of how new Agile principles and practices are changing the landscape of project management. The course is designed to give project managers fresh new insight into how to successfully blend Agile and traditional project management principles and practices in the right proportions to fit any business and project situation. The course provides a deep understanding of Agile project management principles and practices in order to see them as complementary rather than competitive to traditional project management. Topics include: Agile fundamentals, principles, and practices; roots of Agile in TQM and Lean Manufacturing; adapting an Agile approach to fit a business environment; planning and managing an enterprise-level Agile transformation; scaling agile to an enterprise level using enterprise-level Agile frameworks and Agile Project Management tools. Prereq: MET AD642",0
MET,AD,649,Agile Project Management,4,ONLINE,"The course provides an understanding of how new Agile principles and practices are changing the landscape of project management. The course is designed to give project managers fresh new insight into how to successfully blend Agile and traditional project management principles and practices in the right proportions to fit any business and project situation. The course provides a deep understanding of Agile project management principles and practices in order to see them as complementary rather than competitive to traditional project management. Topics include: Agile fundamentals, principles, and practices; roots of Agile in TQM and Lean Manufacturing; adapting an Agile approach to fit a business environment; planning and managing an enterprise-level Agile transformation; scaling agile to an enterprise level using enterprise-level Agile frameworks and Agile Project Management tools. Prereq: MET AD642",0
MET,AD,654,Marketing Analytics,4,IN_PERSON,"Become familiar with the foundations of modern marketing analytics and develop your ability to select, apply, and interpret readily available data on customer purchase behavior, new customer acquisition, current customer retention, and marketing mix optimization. This course explores approaches and techniques to support the managerial decision-making process and skills in using state-of-the-art statistical and analytics tools. Students will have an opportunity to gain basic understanding of how transaction and descriptive data are used to construct customer segmentation schemas, build and calibrate predictive models, and quantify the incremental impact of specific marketing actions. Prereq: METAD571",0
MET,AD,654,Marketing Analytics,4,ONLINE,"Become familiar with the foundations of modern marketing analytics and develop your ability to select, apply, and interpret readily available data on customer purchase behavior, new customer acquisition, current customer retention, and marketing mix optimization. This course explores approaches and techniques to support the managerial decision-making process and skills in using state-of-the-art statistical and analytics tools. Students will have an opportunity to gain basic understanding of how transaction and descriptive data are used to construct customer segmentation schemas, build and calibrate predictive models, and quantify the incremental impact of specific marketing actions. Prereq: METAD571",0
MET,AD,655,"International Business, Economics, and Cultures",4,IN_PERSON,"This course considers macroeconomic factors of relevance to the firm: aggregate economic activity, cyclical movements, and fiscal and monetary policies. The course reviews the problems of decision-making relating to demand, production, costs, market structure, and price, and provides an analysis of the interplay between governments, economic systems, labor, and multinational corporations (MNCs). Topics include: the basis for the existence, organization, and growth of MNCs; a comparison of major economic and government systems; areas include the impact on the firm's business transactions and trade due to taxation, regulation, legal environments and labor influences. This course additionally investigates the relationship between the interaction of national culture and development. Topics range from developing nations' rain forest and species management to pollution generated by developed nations. Culture, policy, and development are also discussed in relation to the impact of the business interactions (agriculture, fishing, technology transfer, etc.) among developing and developed nations.",0
MET,AD,655,"International Business, Economics, and Cultures",4,ONLINE,"This course considers macroeconomic factors of relevance to the firm: aggregate economic activity, cyclical movements, and fiscal and monetary policies. The course reviews the problems of decision-making relating to demand, production, costs, market structure, and price, and provides an analysis of the interplay between governments, economic systems, labor, and multinational corporations (MNCs). Topics include: the basis for the existence, organization, and growth of MNCs; a comparison of major economic and government systems; areas include the impact on the firm's business transactions and trade due to taxation, regulation, legal environments and labor influences. This course additionally investigates the relationship between the interaction of national culture and development. Topics range from developing nations' rain forest and species management to pollution generated by developed nations. Culture, policy, and development are also discussed in relation to the impact of the business interactions (agriculture, fishing, technology transfer, etc.) among developing and developed nations.",0
MET,AD,667,"Innovation, Global Competitiveness, and National Economic Development",4,IN_PERSON,"Examines various approaches to developing high tech innovation based economies as a route to self sufficiency and growth. Factors studied include both structural reforms in the political, legal and economic areas, and government sponsored initiatives in higher education, basic research, private venture capital, grants to support new product development by promising ventures, and the creation of science and technology parks and incubators. Students independently research, write, and present studies of the strategies of various countries. This will be augmented by case studies, reading, and guest speakers on strategies being employed in such countries as Taiwan, Thailand, and Brazil.",0
MET,AD,678,Financial Regulation and Ethics,4,IN_PERSON,"Financial Regulation and Ethics is a course designed to thoroughly review the important topics of financial regulations, policies, and ethics. The course will explore an overview of the financial systems, their history, problems, and issues for the purpose of understanding the enactment of regulations as a method to protect the financial systems and investors. Also, regulators and their authority will be identified, both domestically and internationally.

Ethics, an extremely important aspect of finance will be discussed and explored. Ethics is a difficult topic to define and can be impacted by social norms. During the ethics portion of the course, students will study where ethics have failed and caused major issues for the financial marketplace and individual companies.",0
MET,AD,678,Financial Regulation and Ethics,4,ONLINE,"Financial Regulation and Ethics is a course designed to thoroughly review the important topics of financial regulations, policies, and ethics. The course will explore an overview of the financial systems, their history, problems, and issues for the purpose of understanding the enactment of regulations as a method to protect the financial systems and investors. Also, regulators and their authority will be identified, both domestically and internationally.

Ethics, an extremely important aspect of finance will be discussed and explored. Ethics is a difficult topic to define and can be impacted by social norms. During the ethics portion of the course, students will study where ethics have failed and caused major issues for the financial marketplace and individual companies.",0
MET,AD,680,Global Supply Chains,4,IN_PERSON,"This course analyzes the managerial activities required to support manufacturing and service industry international strategies to assure that the products/services are delivered/provided in the quality and timely manner expected through the use of global supply chains, outsourcing relationships, and multi-country operations. The course focuses on contemporary strategic issues that affect both large and small corporations and includes: the strategic role of the internet, international trade and logistics, cross cultural teaming, supply chain dynamics, information management, inventory scheduling and control, international coordination, and transportation and customer service. 4cr.",0
MET,AD,680,Global Supply Chains,4,ONLINE,"This course analyzes the managerial activities required to support manufacturing and service industry international strategies to assure that the products/services are delivered/provided in the quality and timely manner expected through the use of global supply chains, outsourcing relationships, and multi-country operations. The course focuses on contemporary strategic issues that affect both large and small corporations and includes: the strategic role of the internet, international trade and logistics, cross cultural teaming, supply chain dynamics, information management, inventory scheduling and control, international coordination, and transportation and customer service. 4cr.",0
MET,AD,685,Quantitative Methods for Finance,4,IN_PERSON,"Finance is a highly competitive and dynamic industry that demands quantitative oriented professionals. This course will equip students with the empirical techniques which are used in the analysis of financial markets with a strong focus on financial applications using actual data.

The goal of this course is to provide students with a number of econometric techniques which are used in the analysis of financial markets based on asset pricing and corporate finance models. In particular, the emphasis will be on classical linear regression models, time series analysis, and limited dependent variable models applied to the following topics: predictability of asset returns; event study analysis; econometric tests of the CAPM and multifactor models; volatility modelling, etc.",0
MET,AD,685,Quantitative Methods for Finance,4,ONLINE,"Finance is a highly competitive and dynamic industry that demands quantitative oriented professionals. This course will equip students with the empirical techniques which are used in the analysis of financial markets with a strong focus on financial applications using actual data.

The goal of this course is to provide students with a number of econometric techniques which are used in the analysis of financial markets based on asset pricing and corporate finance models. In particular, the emphasis will be on classical linear regression models, time series analysis, and limited dependent variable models applied to the following topics: predictability of asset returns; event study analysis; econometric tests of the CAPM and multifactor models; volatility modelling, etc.",0
MET,AD,688,Web Analytics for Business,4,IN_PERSON,"Explore web analytics, text mining, web mining, and practical application domains. The web analytics part of the course studies the metrics of websites, their content, user behavior, and reporting. The Google analytics tool is used for collection of website data and doing the analysis. The text mining module covers the analysis of text including content extraction, string matching, clustering, classification, and recommendation systems. The web mining module presents how web crawlers process and index the content of web sites, how search works, and how results are ranked. Application areas mining the social web and game metrics will be extensively investigated. Prereq: METAD571",0
MET,AD,688,Web Analytics for Business,4,ONLINE,"Explore web analytics, text mining, web mining, and practical application domains. The web analytics part of the course studies the metrics of websites, their content, user behavior, and reporting. The Google analytics tool is used for collection of website data and doing the analysis. The text mining module covers the analysis of text including content extraction, string matching, clustering, classification, and recommendation systems. The web mining module presents how web crawlers process and index the content of web sites, how search works, and how results are ranked. Application areas mining the social web and game metrics will be extensively investigated. Prereq: METAD571",0
MET,AD,690,Strategic Logistics Management,4,IN_PERSON,"The course will provide students the qualitative and quantitative methods and tools used by today's logistics and transportation managers, and will use an applied problem-solving approach. Specifically, the course will emphasize decision-making in the areas of transportation management, warehouse and distribution center operations, and logistics network design that includes an understanding of key tradeoffs and the effect of variance in a logistics system.",0
MET,AD,690,Strategic Logistics Management,4,ONLINE,"The course will provide students the qualitative and quantitative methods and tools used by today's logistics and transportation managers, and will use an applied problem-solving approach. Specifically, the course will emphasize decision-making in the areas of transportation management, warehouse and distribution center operations, and logistics network design that includes an understanding of key tradeoffs and the effect of variance in a logistics system.",0
MET,AD,699,Data Mining for Business Analytics,4,IN_PERSON,"Enterprises, organizations and individuals are creating, collecting, and using massive amount of structured and unstructured data with the goal to convert the information into knowledge, to improve the quality and the efficiency of their decision-making process, and to better position themselves to the highly competitive marketplace. Data mining is the process of finding, extracting, visualizing and reporting useful information and insights from both small and large datasets with the help of sophisticated data analysis methods. It is part of the business analytics, which refers to the process of leveraging different forms of analytical techniques to achieve desired business outcomes through requiring business relevancy, actionable insight, performance management, and value management. The students in this course will study the fundamental principles and techniques of data mining. They will learn how to apply advanced models and software applications for data mining. Finally, students will learn how to examine the overall business process of an organization or a project with the goal to understand (i) the business context where hidden internal and external value is to be identified and captured, and (ii) exactly what the selected data mining method does.",0
MET,AD,699,Data Mining for Business Analytics,4,ONLINE,"Enterprises, organizations and individuals are creating, collecting, and using massive amount of structured and unstructured data with the goal to convert the information into knowledge, to improve the quality and the efficiency of their decision-making process, and to better position themselves to the highly competitive marketplace. Data mining is the process of finding, extracting, visualizing and reporting useful information and insights from both small and large datasets with the help of sophisticated data analysis methods. It is part of the business analytics, which refers to the process of leveraging different forms of analytical techniques to achieve desired business outcomes through requiring business relevancy, actionable insight, performance management, and value management. The students in this course will study the fundamental principles and techniques of data mining. They will learn how to apply advanced models and software applications for data mining. Finally, students will learn how to examine the overall business process of an organization or a project with the goal to understand (i) the business context where hidden internal and external value is to be identified and captured, and (ii) exactly what the selected data mining method does.",0
MET,AD,709,Case Studies in Current Corporate Financial Topics,4,IN_PERSON,"Finance forecasting and planning; capital budgeting, cost of capital, dividend policy, rate of return, and financial aspects of growth. Readings and extensive use of case studies. Prereq: MET AD630, MET AD731",0
MET,AD,709,Case Studies in Current Corporate Financial Topics,4,ONLINE,"Finance forecasting and planning; capital budgeting, cost of capital, dividend policy, rate of return, and financial aspects of growth. Readings and extensive use of case studies. Prereq: MET AD630, MET AD731",0
MET,AD,712,Financial Markets and Institutions,4,IN_PERSON,"Investigation and analysis of organization, structure, and performance of U.S. money and capital markets, and institutions. Examines regulation of the financial industry and the role of financial instruments. Prereq: MET AD630, MET AD731",0
MET,AD,712,Financial Markets and Institutions,4,ONLINE,"Investigation and analysis of organization, structure, and performance of U.S. money and capital markets, and institutions. Examines regulation of the financial industry and the role of financial instruments. Prereq: MET AD630, MET AD731",0
MET,AD,713,Derivative Securities and Markets,4,IN_PERSON,"Provides an overview of operation, mechanics, and structure of the derivative markets and covers the concepts of options and futures pricing, arbitrage, and risk management. Emphasizes the theory of risk management and hedging opportunities offered by derivative securities. Prereq: MET AD630, MET AD731",0
MET,AD,713,Derivative Securities and Markets,4,ONLINE,"Provides an overview of operation, mechanics, and structure of the derivative markets and covers the concepts of options and futures pricing, arbitrage, and risk management. Emphasizes the theory of risk management and hedging opportunities offered by derivative securities. Prereq: MET AD630, MET AD731",0
MET,AD,714,Mergers and Acquisitions,4,IN_PERSON,"This course examines the process by which takeovers and other corporate control transactions take place. Of particular interest will be the defensive measures by management against hostile bids, buyout transactions, the relation of takeovers to capital structure changes, and the insider trading in takeover contests. Prereq: MET AD630, MET AD731",0
MET,AD,714,Mergers and Acquisitions,4,ONLINE,"This course examines the process by which takeovers and other corporate control transactions take place. Of particular interest will be the defensive measures by management against hostile bids, buyout transactions, the relation of takeovers to capital structure changes, and the insider trading in takeover contests. Prereq: MET AD630, MET AD731",0
MET,AD,715,Quantitative and Qualitative Decision-Making,4,IN_PERSON,"Explores decision making and policy formulation in organizations. Includes goal setting and the planning process, rational models of decision making, evaluation of alternatives, prediction of outcomes, cost-benefit analysis, decision trees, uncertainty and risk assessment, and procedures for evaluation of outcomes.",0
MET,AD,715,Quantitative and Qualitative Decision-Making,4,ONLINE,"Explores decision making and policy formulation in organizations. Includes goal setting and the planning process, rational models of decision making, evaluation of alternatives, prediction of outcomes, cost-benefit analysis, decision trees, uncertainty and risk assessment, and procedures for evaluation of outcomes.",0
